
BUSES AND NODES IN ACTIVE CIRCUIT: lvtest

                                    Coord                                 Number of     Nodes
  Bus          Base kV             (x, y)                      Keep?       Nodes        connected ...
"386"         0.416          ( 390906.36    , 392802.282   )     No           3          1    2    3 
"387"         0.416          ( 390918       , 392819       )     No           3          1    2    3 
"388"         0.416          ( 390926       , 392812       )     No           3          1    2    3 
"389"         0.416          ( 390937.912   , 392793.827   )     No           3          1    2    3 
"390"         0.416          ( 390937.155   , 392782.6     )     No           3          1    2    3 
"391"         0.416          ( 390913.3067  , 392795.2978  )     No           3          1    2    3 
"392"         0.416          ( 390895.655   , 392803.358   )     No           3          1    2    3 
"393"         0.416          ( 390901.454   , 392808.389   )     No           3          1    2    3 
"394"         0.416          ( 390937.791   , 392793.949   )     No           3          1    2    3 
"395"         0.416          ( 390938.366   , 392782.884   )     No           3          1    2    3 
"396"         0.416          ( 390910.051   , 392792.872   )     No           3          1    2    3 
"397"         0.416          ( 390915.116   , 392793.058   )     No           3          1    2    3 
"398"         0.416          ( 390895.344   , 392803.443   )     No           3          1    2    3 
"399"         0.416          ( 390901.096   , 392808.831   )     No           3          1    2    3 
"400"         0.416          ( 390937.344   , 392794.349   )     No           3          1    2    3 
"401"         0.416          ( 390939.237   , 392783.187   )     No           3          1    2    3 
"402"         0.416          ( 390909.746   , 392792.659   )     No           3          1    2    3 
"403"         0.416          ( 390916.015   , 392791.999   )     No           3          1    2    3 
"404"         0.416          ( 390895.119   , 392803.443   )     No           3          1    2    3 
"405"         0.416          ( 390900.933   , 392809.018   )     No           3          1    2    3 
"406"         0.416          ( 390937       , 392798       )     No           3          1    2    3 
"407"         0.416          ( 390940.013   , 392783.622   )     No           3          1    2    3 
"408"         0.416          ( 390909.563   , 392792.553   )     No           3          1    2    3 
"409"         0.416          ( 390918.607   , 392788.706   )     No           3          1    2    3 
"410"         0.416          ( 390915.753   , 392791.725   )     No           3          1    2    3 
"411"         0.416          ( 390894.893   , 392803.386   )     No           3          1    2    3 
"412"         0.416          ( 390900.791   , 392809.106   )     No           3          1    2    3 
"413"         0.416          ( 390940.732   , 392784.113   )     No           3          1    2    3 
"414"         0.416          ( 390909.433   , 392792.492   )     No           3          1    2    3 
"415"         0.416          ( 390922.398   , 392784.096   )     No           3          1    2    3 
"416"         0.416          ( 390915.69    , 392791.654   )     No           3          1    2    3 
"417"         0.416          ( 390894.074   , 392802.85    )     No           3          1    2    3 
"418"         0.416          ( 390900.539   , 392809.227   )     No           3          1    2    3 
"419"         0.416          ( 390941.549   , 392784.768   )     No           3          1    2    3 
"420"         0.416          ( 390909.212   , 392792.415   )     No           3          1    2    3 
"421"         0.416          ( 390923.197   , 392783.136   )     No           3          1    2    3 
"422"         0.416          ( 390915.654   , 392791.598   )     No           3          1    2    3 
"423"         0.416          ( 390893.905   , 392802.681   )     No           3          1    2    3 
"424"         0.416          ( 390897.659   , 392810.609   )     No           3          1    2    3 
"425"         0.416          ( 390942.91    , 392785.874   )     No           3          1    2    3 
"426"         0.416          ( 390942.91    , 392785.874   )     No           3          1    2    3 
"427"         0.416          ( 390908.473   , 392792.172   )     No           3          1    2    3 
"428"         0.416          ( 390923.398   , 392782.888   )     No           3          1    2    3 
"429"         0.416          ( 390915.626   , 392791.52    )     No           3          1    2    3 
"430"         0.416          ( 390893.792   , 392802.483   )     No           3          1    2    3 
"431"         0.416          ( 390896.587   , 392810.976   )     No           3          1    2    3 
"432"         0.416          ( 390947.433   , 392789.686   )     No           3          1    2    3 
"433"         0.416          ( 390947.433   , 392789.686   )     No           3          1    2    3 
"434"         0.416          ( 390907.642   , 392791.928   )     No           3          1    2    3 
"435"         0.416          ( 390923.491   , 392782.749   )     No           3          1    2    3 
"436"         0.416          ( 390915.619   , 392791.449   )     No           3          1    2    3 
"437"         0.416          ( 390893.764   , 392802.258   )     No           3          1    2    3 
"438"         0.416          ( 390896.22    , 392811.089   )     No           3          1    2    3 
"439"         0.416          ( 390953.846   , 392795.059   )     No           3          1    2    3 
"440"         0.416          ( 390953.846   , 392795.059   )     No           3          1    2    3 
"441"         0.416          ( 390907.177   , 392791.783   )     No           3          1    2    3 
"442"         0.416          ( 390923.553   , 392782.625   )     No           3          1    2    3 
"443"         0.416          ( 390915.619   , 392791.371   )     No           3          1    2    3 
"444"         0.416          ( 390893.82    , 392802.004   )     No           3          1    2    3 
"445"         0.416          ( 390895.542   , 392811.117   )     No           3          1    2    3 
"446"         0.416          ( 390958.463   , 392798.896   )     No           3          1    2    3 
"447"         0.416          ( 390958.463   , 392798.896   )     No           3          1    2    3 
"448"         0.416          ( 390906.751   , 392791.616   )     No           3          1    2    3 
"449"         0.416          ( 390923.584   , 392782.517   )     No           3          1    2    3 
"450"         0.416          ( 390915.633   , 392791.293   )     No           3          1    2    3 
"451"         0.416          ( 390894.441   , 392801.355   )     No           3          1    2    3 
"452"         0.416          ( 390894.949   , 392811.145   )     No           3          1    2    3 
"453"         0.416          ( 390959.827   , 392800.103   )     No           3          1    2    3 
"454"         0.416          ( 390959.827   , 392800.103   )     No           3          1    2    3 
"455"         0.416          ( 390906.364   , 392791.414   )     No           3          1    2    3 
"456"         0.416          ( 390923.6     , 392782.346   )     No           3          1    2    3 
"457"         0.416          ( 390915.654   , 392791.243   )     No           3          1    2    3 
"458"         0.416          ( 390894       , 392797       )     No           3          1    2    3 
"459"         0.416          ( 390894.3     , 392810.976   )     No           3          1    2    3 
"460"         0.416          ( 390963.865   , 392803.674   )     No           3          1    2    3 
"461"         0.416          ( 390963.865   , 392803.674   )     No           3          1    2    3 
"462"         0.416          ( 390957.305   , 392802.791   )     No           3          1    2    3 
"463"         0.416          ( 390905.762   , 392791.025   )     No           3          1    2    3 
"464"         0.416          ( 390923.584   , 392782.192   )     No           3          1    2    3 
"465"         0.416          ( 390915.683   , 392791.215   )     No           3          1    2    3 
"466"         0.416          ( 390893.764   , 392810.637   )     No           3          1    2    3 
"467"         0.416          ( 390968.351   , 392807.642   )     No           3          1    2    3 
"468"         0.416          ( 390968.351   , 392807.642   )     No           3          1    2    3 
"469"         0.416          ( 390964.469   , 392803.03    )     No           3          1    2    3 
"470"         0.416          ( 390956.915   , 392803.162   )     No           3          1    2    3 
"471"         0.416          ( 390905.366   , 392790.721   )     No           3          1    2    3 
"472"         0.416          ( 390923.538   , 392782.052   )     No           3          1    2    3 
"473"         0.416          ( 390915.718   , 392791.18    )     No           3          1    2    3 
"474"         0.416          ( 390891.2225  , 392808.691   )     No           3          1    2    3 
"475"         0.416          ( 390970.015   , 392809.073   )     No           3          1    2    3 
"476"         0.416          ( 390970.015   , 392809.073   )     No           3          1    2    3 
"477"         0.416          ( 390956.693   , 392803.354   )     No           3          1    2    3 
"478"         0.416          ( 390905.122   , 392790.469   )     No           3          1    2    3 
"479"         0.416          ( 390923.476   , 392781.898   )     No           3          1    2    3 
"480"         0.416          ( 390915.775   , 392791.151   )     No           3          1    2    3 
"481"         0.416          ( 390891.138   , 392808.521   )     No           3          1    2    3 
"482"         0.416          ( 390973.535   , 392812.101   )     No           3          1    2    3 
"483"         0.416          ( 390973.535   , 392812.101   )     No           3          1    2    3 
"484"         0.416          ( 390963.033   , 392816.614   )     No           3          1    2    3 
"485"         0.416          ( 390956.52    , 392803.452   )     No           3          1    2    3 
"486"         0.416          ( 390905.015   , 392790.34    )     No           3          1    2    3 
"487"         0.416          ( 390923.352   , 392781.774   )     No           3          1    2    3 
"488"         0.416          ( 390915.881   , 392791.116   )     No           3          1    2    3 
"489"         0.416          ( 390891.11    , 392808.352   )     No           3          1    2    3 
"490"         0.416          ( 390978.625   , 392816.388   )     No           3          1    2    3 
"491"         0.416          ( 390978.625   , 392816.388   )     No           3          1    2    3 
"492"         0.416          ( 390962.663   , 392817.058   )     No           3          1    2    3 
"493"         0.416          ( 390965.49    , 392819.862   )     No           3          1    2    3 
"494"         0.416          ( 390956.242   , 392803.57    )     No           3          1    2    3 
"495"         0.416          ( 390904.962   , 392790.248   )     No           3          1    2    3 
"496"         0.416          ( 390923.073   , 392781.511   )     No           3          1    2    3 
"497"         0.416          ( 390916.016   , 392791.08    )     No           3          1    2    3 
"498"         0.416          ( 390891.166   , 392808.126   )     No           3          1    2    3 
"499"         0.416          ( 390981.879   , 392818.818   )     No           3          1    2    3 
"500"         0.416          ( 390981.879   , 392818.818   )     No           3          1    2    3 
"501"         0.416          ( 390962.507   , 392817.246   )     No           3          1    2    3 
"502"         0.416          ( 390964       , 392822       )     No           3          1    2    3 
"503"         0.416          ( 390955.804   , 392803.705   )     No           3          1    2    3 
"504"         0.416          ( 390904.939   , 392790.18    )     No           3          1    2    3 
"505"         0.416          ( 390916.237   , 392776.136   )     No           3          1    2    3 
"506"         0.416          ( 390916.108   , 392791.052   )     No           3          1    2    3 
"507"         0.416          ( 390891.336   , 392807.872   )     No           3          1    2    3 
"508"         0.416          ( 390982.421   , 392819.26    )     No           3          1    2    3 
"509"         0.416          ( 390982.421   , 392819.26    )     No           3          1    2    3 
"510"         0.416          ( 390962.384   , 392817.32    )     No           3          1    2    3 
"511"         0.416          ( 390955.501   , 392803.823   )     No           3          1    2    3 
"512"         0.416          ( 390904.924   , 392790.081   )     No           3          1    2    3 
"513"         0.416          ( 390912.695   , 392780.428   )     No           3          1    2    3 
"514"         0.416          ( 390915.185   , 392775.311   )     No           3          1    2    3 
"515"         0.416          ( 390916.186   , 392791.017   )     No           3          1    2    3 
"516"         0.416          ( 390983.883   , 392820.451   )     No           3          1    2    3 
"517"         0.416          ( 390983.883   , 392820.451   )     No           3          1    2    3 
"518"         0.416          ( 390979.167   , 392822.695   )     No           3          1    2    3 
"519"         0.416          ( 390962.253   , 392817.337   )     No           3          1    2    3 
"520"         0.416          ( 390955.316   , 392803.946   )     No           3          1    2    3 
"521"         0.416          ( 390904.932   , 392790.005   )     No           3          1    2    3 
"522"         0.416          ( 390908       , 392779       )     No           3          1    2    3 
"523"         0.416          ( 390914.619   , 392774.864   )     No           3          1    2    3 
"524"         0.416          ( 390916.242   , 392790.981   )     No           3          1    2    3 
"525"         0.416          ( 390985.003   , 392821.271   )     No           3          1    2    3 
"526"         0.416          ( 390985.003   , 392821.271   )     No           3          1    2    3 
"527"         0.416          ( 390977.209   , 392824.691   )     No           3          1    2    3 
"528"         0.416          ( 390962.138   , 392817.312   )     No           3          1    2    3 
"529"         0.416          ( 390955.18    , 392804.057   )     No           3          1    2    3 
"530"         0.416          ( 390905.076   , 392789.479   )     No           3          1    2    3 
"531"         0.416          ( 390914.548   , 392774.783   )     No           3          1    2    3 
"532"         0.416          ( 390916.278   , 392790.932   )     No           3          1    2    3 
"533"         0.416          ( 390986.567   , 392822.332   )     No           3          1    2    3 
"534"         0.416          ( 390986.567   , 392822.332   )     No           3          1    2    3 
"535"         0.416          ( 390975.743   , 392826.352   )     No           3          1    2    3 
"536"         0.416          ( 390962.023   , 392817.271   )     No           3          1    2    3 
"537"         0.416          ( 390954.784   , 392804.457   )     No           3          1    2    3 
"538"         0.416          ( 390903.887   , 392790.99    )     No           3          1    2    3 
"539"         0.416          ( 390904       , 392784       )     No           3          1    2    3 
"540"         0.416          ( 390914.494   , 392774.721   )     No           3          1    2    3 
"541"         0.416          ( 390916.292   , 392790.868   )     No           3          1    2    3 
"542"         0.416          ( 390987.709   , 392823.028   )     No           3          1    2    3 
"543"         0.416          ( 390987.709   , 392823.028   )     No           3          1    2    3 
"544"         0.416          ( 390975.138   , 392827.039   )     No           3          1    2    3 
"545"         0.416          ( 390961.735   , 392817.041   )     No           3          1    2    3 
"546"         0.416          ( 390951.688   , 392807.795   )     No           3          1    2    3 
"547"         0.416          ( 390902.523   , 392792.617   )     No           3          1    2    3 
"548"         0.416          ( 390914.467   , 392774.649   )     No           3          1    2    3 
"549"         0.416          ( 390916.278   , 392790.783   )     No           3          1    2    3 
"550"         0.416          ( 390991       , 392824.805   )     No           3          1    2    3 
"551"         0.416          ( 390991       , 392824.805   )     No           3          1    2    3 
"552"         0.416          ( 390974.926   , 392827.234   )     No           3          1    2    3 
"553"         0.416          ( 390977.781   , 392829.754   )     No           3          1    2    3 
"554"         0.416          ( 390961.464   , 392816.787   )     No           3          1    2    3 
"555"         0.416          ( 390951.538   , 392807.965   )     No           3          1    2    3 
"556"         0.416          ( 390897       , 392791       )     No           3          1    2    3 
"557"         0.416          ( 390914.449   , 392774.569   )     No           3          1    2    3 
"558"         0.416          ( 390916.242   , 392790.733   )     No           3          1    2    3 
"559"         0.416          ( 390993.403   , 392826.054   )     No           3          1    2    3 
"560"         0.416          ( 390993.403   , 392826.054   )     No           3          1    2    3 
"561"         0.416          ( 390974.831   , 392827.281   )     No           3          1    2    3 
"562"         0.416          ( 390976       , 392832       )     No           3          1    2    3 
"563"         0.416          ( 390958       , 392817       )     No           3          1    2    3 
"564"         0.416          ( 390951.458   , 392808.125   )     No           3          1    2    3 
"565"         0.416          ( 390914.458   , 392774.497   )     No           3          1    2    3 
"566"         0.416          ( 390916.157   , 392790.648   )     No           3          1    2    3 
"567"         0.416          ( 390993.936   , 392826.331   )     No           3          1    2    3 
"568"         0.416          ( 390993.936   , 392826.331   )     No           3          1    2    3 
"569"         0.416          ( 390991.104   , 392829.14    )     No           3          1    2    3 
"570"         0.416          ( 390974.676   , 392827.311   )     No           3          1    2    3 
"571"         0.416          ( 390951.428   , 392808.325   )     No           3          1    2    3 
"572"         0.416          ( 390914.476   , 392774.425   )     No           3          1    2    3 
"573"         0.416          ( 390994.064   , 392826.393   )     No           3          1    2    3 
"574"         0.416          ( 390994.064   , 392826.393   )     No           3          1    2    3 
"575"         0.416          ( 390990.836   , 392829.546   )     No           3          1    2    3 
"576"         0.416          ( 390974.581   , 392827.311   )     No           3          1    2    3 
"577"         0.416          ( 390951.428   , 392808.505   )     No           3          1    2    3 
"578"         0.416          ( 390914.701   , 392774.115   )     No           3          1    2    3 
"579"         0.416          ( 390997.536   , 392828.07    )     No           3          1    2    3 
"580"         0.416          ( 390997.536   , 392828.07    )     No           3          1    2    3 
"581"         0.416          ( 390993.888   , 392826.66    )     No           3          1    2    3 
"582"         0.416          ( 390990.662   , 392829.86    )     No           3          1    2    3 
"583"         0.416          ( 390974.467   , 392827.299   )     No           3          1    2    3 
"584"         0.416          ( 390951.458   , 392808.71    )     No           3          1    2    3 
"585"         0.416          ( 390910.991   , 392771.178   )     No           3          1    2    3 
"586"         0.416          ( 390915.202   , 392773.458   )     No           3          1    2    3 
"587"         0.416          ( 390999.985   , 392829.212   )     No           3          1    2    3 
"588"         0.416          ( 390999.985   , 392829.212   )     No           3          1    2    3 
"589"         0.416          ( 390993.812   , 392826.748   )     No           3          1    2    3 
"590"         0.416          ( 390990.534   , 392830.185   )     No           3          1    2    3 
"591"         0.416          ( 390974.378   , 392827.252   )     No           3          1    2    3 
"592"         0.416          ( 390951.553   , 392808.9     )     No           3          1    2    3 
"593"         0.416          ( 390910.777   , 392771.009   )     No           3          1    2    3 
"594"         0.416          ( 390917.646   , 392770.357   )     No           3          1    2    3 
"595"         0.416          ( 391004.98    , 392831.301   )     No           3          1    2    3 
"596"         0.416          ( 391000.5776  , 392829.4599  )     No           3          1    2    3 
"597"         0.416          ( 390993.745   , 392826.807   )     No           3          1    2    3 
"598"         0.416          ( 390989.572   , 392833.322   )     No           3          1    2    3 
"599"         0.416          ( 390973.854   , 392826.853   )     No           3          1    2    3 
"600"         0.416          ( 390951.713   , 392809.099   )     No           3          1    2    3 
"601"         0.416          ( 390910.657   , 392770.943   )     No           3          1    2    3 
"602"         0.416          ( 390910.518   , 392764.593   )     No           3          1    2    3 
"603"         0.416          ( 390920.545   , 392766.731   )     No           3          1    2    3 
"604"         0.416          ( 391009.465   , 392833.089   )     No           3          1    2    3 
"605"         0.416          ( 391009.465   , 392833.089   )     No           3          1    2    3 
"606"         0.416          ( 391000.5776  , 392829.4599  )     No           3          1    2    3 
"607"         0.416          ( 390996.172   , 392840.26    )     No           3          1    2    3 
"608"         0.416          ( 390996.172   , 392840.26    )     No           3          1    2    3 
"609"         0.416          ( 390993.64    , 392826.841   )     No           3          1    2    3 
"610"         0.416          ( 390989.096   , 392834.773   )     No           3          1    2    3 
"611"         0.416          ( 390969       , 392827       )     No           3          1    2    3 
"612"         0.416          ( 390951.838   , 392809.199   )     No           3          1    2    3 
"613"         0.416          ( 390910.547   , 392770.91    )     No           3          1    2    3 
"614"         0.416          ( 390909       , 392760       )     No           3          1    2    3 
"615"         0.416          ( 390923.419   , 392763.338   )     No           3          1    2    3 
"616"         0.416          ( 391008.023   , 392836.745   )     No           3          1    2    3 
"617"         0.416          ( 391012.375   , 392834.183   )     No           3          1    2    3 
"618"         0.416          ( 391012.375   , 392834.183   )     No           3          1    2    3 
"619"         0.416          ( 390996       , 392843       )     No           3          1    2    3 
"620"         0.416          ( 390993.577   , 392826.832   )     No           3          1    2    3 
"621"         0.416          ( 390988.794   , 392835.423   )     No           3          1    2    3 
"622"         0.416          ( 390952.418   , 392809.569   )     No           3          1    2    3 
"623"         0.416          ( 390910.454   , 392770.899   )     No           3          1    2    3 
"624"         0.416          ( 390922.171   , 392762.286   )     No           3          1    2    3 
"625"         0.416          ( 390924.232   , 392762.387   )     No           3          1    2    3 
"626"         0.416          ( 391006.125   , 392841.751   )     No           3          1    2    3 
"627"         0.416          ( 390993.509   , 392826.794   )     No           3          1    2    3 
"628"         0.416          ( 390988.562   , 392835.841   )     No           3          1    2    3 
"629"         0.416          ( 390954       , 392812       )     No           3          1    2    3 
"630"         0.416          ( 390910.307   , 392770.899   )     No           3          1    2    3 
"631"         0.416          ( 390921.888   , 392762.003   )     No           3          1    2    3 
"632"         0.416          ( 390924.414   , 392762.164   )     No           3          1    2    3 
"633"         0.416          ( 391005.565   , 392843.218   )     No           3          1    2    3 
"634"         0.416          ( 390993.467   , 392826.744   )     No           3          1    2    3 
"635"         0.416          ( 390988.132   , 392836.432   )     No           3          1    2    3 
"636"         0.416          ( 390909.959   , 392770.941   )     No           3          1    2    3 
"637"         0.416          ( 390921.726   , 392761.781   )     No           3          1    2    3 
"638"         0.416          ( 390924.515   , 392762.063   )     No           3          1    2    3 
"639"         0.416          ( 391002       , 392847       )     No           3          1    2    3 
"640"         0.416          ( 390993.45    , 392826.677   )     No           3          1    2    3 
"641"         0.416          ( 390987.226   , 392837.535   )     No           3          1    2    3 
"642"         0.416          ( 390909.718   , 392770.968   )     No           3          1    2    3 
"643"         0.416          ( 390921.524   , 392761.458   )     No           3          1    2    3 
"644"         0.416          ( 390924.636   , 392761.963   )     No           3          1    2    3 
"645"         0.416          ( 390993.459   , 392826.609   )     No           3          1    2    3 
"646"         0.416          ( 390986.947   , 392837.814   )     No           3          1    2    3 
"647"         0.416          ( 390909.412   , 392771.006   )     No           3          1    2    3 
"648"         0.416          ( 390921.12    , 392760.65    )     No           3          1    2    3 
"649"         0.416          ( 390924.798   , 392761.882   )     No           3          1    2    3 
"650"         0.416          ( 390993.492   , 392826.521   )     No           3          1    2    3 
"651"         0.416          ( 390986.866   , 392837.895   )     No           3          1    2    3 
"652"         0.416          ( 390909.225   , 392771.017   )     No           3          1    2    3 
"653"         0.416          ( 390920.797   , 392760.044   )     No           3          1    2    3 
"654"         0.416          ( 390924.98    , 392761.862   )     No           3          1    2    3 
"655"         0.416          ( 390993.551   , 392826.412   )     No           3          1    2    3 
"656"         0.416          ( 390986.773   , 392837.93    )     No           3          1    2    3 
"657"         0.416          ( 390987.307   , 392838.185   )     No           3          1    2    3 
"658"         0.416          ( 390909.056   , 392771.023   )     No           3          1    2    3 
"659"         0.416          ( 390920.534   , 392759.64    )     No           3          1    2    3 
"660"         0.416          ( 390925.182   , 392761.882   )     No           3          1    2    3 
"661"         0.416          ( 390993.787   , 392826.134   )     No           3          1    2    3 
"662"         0.416          ( 390986.68    , 392837.93    )     No           3          1    2    3 
"663"         0.416          ( 390987.923   , 392838.51    )     No           3          1    2    3 
"664"         0.416          ( 390908.771   , 392771.012   )     No           3          1    2    3 
"665"         0.416          ( 390920.231   , 392759.236   )     No           3          1    2    3 
"666"         0.416          ( 390925.444   , 392762.018   )     No           3          1    2    3 
"667"         0.416          ( 390993.989   , 392825.97    )     No           3          1    2    3 
"668"         0.416          ( 390986.587   , 392837.907   )     No           3          1    2    3 
"669"         0.416          ( 390990.478   , 392839.868   )     No           3          1    2    3 
"670"         0.416          ( 390908.492   , 392770.984   )     No           3          1    2    3 
"671"         0.416          ( 390919.948   , 392758.933   )     No           3          1    2    3 
"672"         0.416          ( 390925.74    , 392761.64    )     No           3          1    2    3 
"673"         0.416          ( 390926.091   , 392762.508   )     No           3          1    2    3 
"674"         0.416          ( 390994.166   , 392825.873   )     No           3          1    2    3 
"675"         0.416          ( 390986.018   , 392837.512   )     No           3          1    2    3 
"676"         0.416          ( 390990       , 392841       )     No           3          1    2    3 
"677"         0.416          ( 390908.361   , 392770.963   )     No           3          1    2    3 
"678"         0.416          ( 390919.443   , 392758.468   )     No           3          1    2    3 
"679"         0.416          ( 390925.919   , 392761.414   )     No           3          1    2    3 
"680"         0.416          ( 390929.951   , 392765.901   )     No           3          1    2    3 
"681"         0.416          ( 390994.528   , 392825.697   )     No           3          1    2    3 
"682"         0.416          ( 390981       , 392837       )     No           3          1    2    3 
"683"         0.416          ( 390908.218   , 392770.935   )     No           3          1    2    3 
"684"         0.416          ( 390917.785   , 392756.994   )     No           3          1    2    3 
"685"         0.416          ( 390926.062   , 392761.188   )     No           3          1    2    3 
"686"         0.416          ( 390932.739   , 392768.301   )     No           3          1    2    3 
"687"         0.416          ( 390908.087   , 392770.886   )     No           3          1    2    3 
"688"         0.416          ( 390913       , 392755       )     No           3          1    2    3 
"689"         0.416          ( 390926.169   , 392760.95    )     No           3          1    2    3 
"690"         0.416          ( 390938.131   , 392762.197   )     No           3          1    2    3 
"691"         0.416          ( 390940.702   , 392775.184   )     No           3          1    2    3 
"692"         0.416          ( 390907.934   , 392770.815   )     No           3          1    2    3 
"693"         0.416          ( 390926.216   , 392760.76    )     No           3          1    2    3 
"694"         0.416          ( 390937.548   , 392761.707   )     No           3          1    2    3 
"695"         0.416          ( 390939.539   , 392760.604   )     No           3          1    2    3 
"696"         0.416          ( 390947.039   , 392768.131   )     No           3          1    2    3 
"697"         0.416          ( 390942.352   , 392776.625   )     No           3          1    2    3 
"698"         0.416          ( 390907.699   , 392770.684   )     No           3          1    2    3 
"699"         0.416          ( 390926.24    , 392760.45    )     No           3          1    2    3 
"700"         0.416          ( 390937.379   , 392761.539   )     No           3          1    2    3 
"701"         0.416          ( 390943       , 392758       )     No           3          1    2    3 
"702"         0.416          ( 390949       , 392763       )     No           3          1    2    3 
"703"         0.416          ( 390944.148   , 392778.217   )     No           3          1    2    3 
"704"         0.416          ( 390907.124   , 392770.224   )     No           3          1    2    3 
"705"         0.416          ( 390926.204   , 392759.927   )     No           3          1    2    3 
"706"         0.416          ( 390937.285   , 392761.418   )     No           3          1    2    3 
"707"         0.416          ( 390948.941   , 392782.353   )     No           3          1    2    3 
"708"         0.416          ( 390944.182   , 392778.111   )     No           3          1    2    3 
"709"         0.416          ( 390906.396   , 392769.568   )     No           3          1    2    3 
"710"         0.416          ( 390925.585   , 392756.048   )     No           3          1    2    3 
"711"         0.416          ( 390937.231   , 392761.343   )     No           3          1    2    3 
"712"         0.416          ( 390954.592   , 392787.288   )     No           3          1    2    3 
"713"         0.416          ( 390951.513   , 392779.362   )     No           3          1    2    3 
"714"         0.416          ( 390944.201   , 392778.008   )     No           3          1    2    3 
"715"         0.416          ( 390906.33    , 392769.502   )     No           3          1    2    3 
"716"         0.416          ( 390925.095   , 392752.863   )     No           3          1    2    3 
"717"         0.416          ( 390937.197   , 392761.256   )     No           3          1    2    3 
"718"         0.416          ( 390960.503   , 392792.29    )     No           3          1    2    3 
"719"         0.416          ( 390951.779   , 392779.034   )     No           3          1    2    3 
"720"         0.416          ( 390944.201   , 392777.911   )     No           3          1    2    3 
"721"         0.416          ( 390906.287   , 392769.442   )     No           3          1    2    3 
"722"         0.416          ( 390924.96    , 392751.851   )     No           3          1    2    3 
"723"         0.416          ( 390937.177   , 392761.175   )     No           3          1    2    3 
"724"         0.416          ( 390962.999   , 392794.377   )     No           3          1    2    3 
"725"         0.416          ( 390966.597   , 392785.202   )     No           3          1    2    3 
"726"         0.416          ( 390951.873   , 392778.903   )     No           3          1    2    3 
"727"         0.416          ( 390944.188   , 392777.802   )     No           3          1    2    3 
"728"         0.416          ( 390906.259   , 392769.376   )     No           3          1    2    3 
"729"         0.416          ( 390924.892   , 392750.924   )     No           3          1    2    3 
"730"         0.416          ( 390937.177   , 392761.081   )     No           3          1    2    3 
"731"         0.416          ( 390966.383   , 392797.222   )     No           3          1    2    3 
"732"         0.416          ( 390967.383   , 392784.225   )     No           3          1    2    3 
"733"         0.416          ( 390951.956   , 392778.754   )     No           3          1    2    3 
"734"         0.416          ( 390944.156   , 392777.718   )     No           3          1    2    3 
"735"         0.416          ( 390906.248   , 392769.3     )     No           3          1    2    3 
"736"         0.416          ( 390924.876   , 392750.418   )     No           3          1    2    3 
"737"         0.416          ( 390937.191   , 392761.007   )     No           3          1    2    3 
"738"         0.416          ( 390970.344   , 392800.554   )     No           3          1    2    3 
"739"         0.416          ( 390967.79    , 392783.707   )     No           3          1    2    3 
"740"         0.416          ( 390952.012   , 392778.624   )     No           3          1    2    3 
"741"         0.416          ( 390944.072   , 392777.609   )     No           3          1    2    3 
"742"         0.416          ( 390906.248   , 392769.229   )     No           3          1    2    3 
"743"         0.416          ( 390924.892   , 392750.014   )     No           3          1    2    3 
"744"         0.416          ( 390937.231   , 392760.926   )     No           3          1    2    3 
"745"         0.416          ( 390973.519   , 392803.236   )     No           3          1    2    3 
"746"         0.416          ( 390965.176   , 392781.034   )     No           3          1    2    3 
"747"         0.416          ( 390967.869   , 392783.614   )     No           3          1    2    3 
"748"         0.416          ( 390952.068   , 392778.466   )     No           3          1    2    3 
"749"         0.416          ( 390943.95    , 392777.499   )     No           3          1    2    3 
"750"         0.416          ( 390906.259   , 392769.163   )     No           3          1    2    3 
"751"         0.416          ( 390924.96    , 392749.676   )     No           3          1    2    3 
"752"         0.416          ( 390937.285   , 392760.845   )     No           3          1    2    3 
"753"         0.416          ( 390974.708   , 392804.22    )     No           3          1    2    3 
"754"         0.416          ( 390977.441   , 392798.798   )     No           3          1    2    3 
"755"         0.416          ( 390965       , 392778       )     No           3          1    2    3 
"756"         0.416          ( 390967.938   , 392783.559   )     No           3          1    2    3 
"757"         0.416          ( 390952.106   , 392778.307   )     No           3          1    2    3 
"758"         0.416          ( 390943.847   , 392777.429   )     No           3          1    2    3 
"759"         0.416          ( 390906.303   , 392769.081   )     No           3          1    2    3 
"760"         0.416          ( 390925.078   , 392749.289   )     No           3          1    2    3 
"761"         0.416          ( 390937.393   , 392760.704   )     No           3          1    2    3 
"762"         0.416          ( 390976.271   , 392805.664   )     No           3          1    2    3 
"763"         0.416          ( 390980.72    , 392795.089   )     No           3          1    2    3 
"764"         0.416          ( 390968.007   , 392783.531   )     No           3          1    2    3 
"765"         0.416          ( 390952.134   , 392778.084   )     No           3          1    2    3 
"766"         0.416          ( 390943.737   , 392777.377   )     No           3          1    2    3 
"767"         0.416          ( 390906.369   , 392768.988   )     No           3          1    2    3 
"768"         0.416          ( 390925.23    , 392748.952   )     No           3          1    2    3 
"769"         0.416          ( 390938.215   , 392759.66    )     No           3          1    2    3 
"770"         0.416          ( 390980.319   , 392808.983   )     No           3          1    2    3 
"771"         0.416          ( 390978.194   , 392792.523   )     No           3          1    2    3 
"772"         0.416          ( 390980.83    , 392795.019   )     No           3          1    2    3 
"773"         0.416          ( 390968.132   , 392783.517   )     No           3          1    2    3 
